iter	Logloss
0	0.6839336923
1	0.6748529714
2	0.6707731983
3	0.6636538413
4	0.6546575456
5	0.6472076197
6	0.6399707005
7	0.6351764363
8	0.6308940061
9	0.6245537905
10	0.6127504252
11	0.6079529419
12	0.6049239121
13	0.6018927624
14	0.5978610695
15	0.5937521046
16	0.5914692828
17	0.5891701
18	0.5851030664
19	0.5829372215
20	0.5804063525
21	0.5775017915
22	0.5755147674
23	0.5742772248
24	0.5721244437
25	0.5681483476
26	0.5661495119
27	0.5639386578
28	0.5561961744
29	0.5536977905
30	0.5509603189
31	0.5458325363
32	0.5425358623
33	0.5392427856
34	0.5370594746
35	0.5352295105
36	0.5342747376
37	0.5317619256
38	0.5309279695
39	0.5291799922
40	0.5282480915
41	0.5274847376
42	0.5258108298
43	0.5235897268
44	0.522079126
45	0.5199350164
46	0.5176979605
47	0.5156817772
48	0.5135493913
49	0.5124787337
50	0.5107042524
51	0.5084874773
52	0.5066595529
53	0.5044977403
54	0.5031579343
55	0.5009069725
56	0.4995785344
57	0.4983987793
58	0.4971118889
59	0.494137156
60	0.4930209099
61	0.4905281639
62	0.4894130664
63	0.4874639373
64	0.4864588245
65	0.4851935122
66	0.4833868395
67	0.4816954408
68	0.4802503778
69	0.4786424095
70	0.4767263506
71	0.4746673107
72	0.473027551
73	0.4713395168
74	0.4690109345
75	0.4678786809
76	0.467350044
77	0.4651669271
78	0.463939367
79	0.462777773
80	0.4609753668
81	0.4594435882
82	0.4579082146
83	0.4563256237
84	0.4543706407
