iter	Passed	Remaining
0	151	150931
1	161	80446
2	171	57046
3	181	45254
4	192	38229
5	201	33451
6	211	29944
7	221	27517
8	230	25393
9	240	23842
10	249	22421
11	258	21265
12	266	20257
13	275	19395
14	288	18957
15	298	18369
16	306	17748
17	315	17239
18	325	16789
19	333	16351
20	344	16058
21	353	15708
22	363	15460
23	372	15159
24	383	14953
25	392	14713
26	401	14478
27	410	14245
28	420	14065
29	428	13870
30	437	13679
31	448	13566
32	457	13407
33	466	13240
34	474	13094
35	485	13013
36	494	12875
37	505	12788
38	513	12660
39	525	12623
40	534	12509
41	545	12450
42	555	12360
43	564	12268
44	573	12178
45	585	12134
46	593	12043
47	603	11976
48	614	11926
49	623	11838
50	633	11786
51	641	11703
52	652	11660
53	661	11585
54	671	11536
55	680	11465
56	688	11397
57	700	11378
58	711	11343
59	720	11280
60	729	11223
61	746	11291
62	757	11261
63	766	11216
64	777	11177
65	785	11113
66	795	11074
67	804	11027
68	814	10985
69	824	10950
70	833	10909
71	842	10864
72	851	10815
73	862	10794
74	872	10757
75	882	10724
76	891	10686
77	900	10641
78	908	10592
79	919	10576
80	929	10542
81	938	10508
82	949	10490
83	961	10484
84	972	10466
